iccad1_config train --->INFO--->2024-06-13 10:48:05,508--->2024-06-13 10:48:05.508322: step 0, loss = 0.09, learning_rate = 0.001000, training_accu = 0.312500, bias = 0.00
iccad1_config train --->INFO--->2024-06-13 10:48:09,341--->2024-06-13 10:48:09.341494: step 100, loss = 0.00, learning_rate = 0.000650, training_accu = 1.000000, bias = 0.00
iccad1_config train --->INFO--->2024-06-13 10:48:13,296--->2024-06-13 10:48:13.296499: step 200, loss = 0.00, learning_rate = 0.000650, training_accu = 1.000000, bias = 0.00
iccad1_config train --->INFO--->2024-06-13 10:48:17,235--->2024-06-13 10:48:17.235256: step 300, loss = 0.00, learning_rate = 0.000650, training_accu = 1.000000, bias = 0.00
iccad1_config train --->INFO--->2024-06-13 10:48:21,085--->2024-06-13 10:48:21.085538: step 400, loss = 0.00, learning_rate = 0.000650, training_accu = 1.000000, bias = 0.00
iccad1_config train --->INFO--->2024-06-13 10:48:25,005--->2024-06-13 10:48:25.005360: step 500, loss = 0.00, learning_rate = 0.000650, training_accu = 1.000000, bias = 0.00
iccad1_config train --->INFO--->2024-06-13 10:48:28,907--->2024-06-13 10:48:28.907936: step 600, loss = 0.00, learning_rate = 0.000650, training_accu = 1.000000, bias = 0.00
iccad1_config train --->INFO--->2024-06-13 10:48:32,817--->2024-06-13 10:48:32.816875: step 700, loss = 0.00, learning_rate = 0.000650, training_accu = 1.000000, bias = 0.00
iccad1_config train --->INFO--->2024-06-13 10:48:36,852--->2024-06-13 10:48:36.852212: step 800, loss = 0.00, learning_rate = 0.000650, training_accu = 1.000000, bias = 0.00
iccad1_config train --->INFO--->2024-06-13 10:48:40,832--->2024-06-13 10:48:40.832252: step 900, loss = 0.00, learning_rate = 0.000650, training_accu = 1.000000, bias = 0.00
iccad1_config train --->INFO--->2024-06-13 10:48:44,810--->2024-06-13 10:48:44.810338: step 1000, loss = 0.00, learning_rate = 0.000650, training_accu = 1.000000, bias = 0.00
iccad1_config train --->INFO--->2024-06-13 10:48:48,756--->2024-06-13 10:48:48.756677: step 1100, loss = 0.00, learning_rate = 0.000650, training_accu = 1.000000, bias = 0.00
iccad1_config train --->INFO--->2024-06-13 10:48:52,593--->2024-06-13 10:48:52.593835: step 1200, loss = 0.00, learning_rate = 0.000650, training_accu = 1.000000, bias = 0.00
iccad1_config train --->INFO--->2024-06-13 10:48:56,393--->2024-06-13 10:48:56.393742: step 1300, loss = 0.00, learning_rate = 0.000650, training_accu = 1.000000, bias = 0.00
iccad1_config train --->INFO--->2024-06-13 10:49:00,202--->2024-06-13 10:49:00.202468: step 1400, loss = 0.00, learning_rate = 0.000650, training_accu = 1.000000, bias = 0.00
iccad1_config train --->INFO--->2024-06-13 10:49:04,012--->2024-06-13 10:49:04.012802: step 1500, loss = 0.00, learning_rate = 0.000650, training_accu = 1.000000, bias = 0.00
iccad1_config train --->INFO--->2024-06-13 10:49:07,815--->2024-06-13 10:49:07.815512: step 1600, loss = 0.00, learning_rate = 0.000650, training_accu = 1.000000, bias = 0.00
iccad1_config train --->INFO--->2024-06-13 10:49:11,627--->2024-06-13 10:49:11.627323: step 1700, loss = 0.00, learning_rate = 0.000650, training_accu = 1.000000, bias = 0.00
iccad1_config train --->INFO--->2024-06-13 10:49:15,431--->2024-06-13 10:49:15.431496: step 1800, loss = 0.00, learning_rate = 0.000650, training_accu = 1.000000, bias = 0.00
iccad1_config train --->INFO--->2024-06-13 10:49:19,233--->2024-06-13 10:49:19.232206: step 1900, loss = 0.00, learning_rate = 0.000650, training_accu = 1.000000, bias = 0.00
iccad1_config train --->INFO--->2024-06-13 10:49:23,029--->2024-06-13 10:49:23.029953: step 2000, loss = 0.00, learning_rate = 0.000650, training_accu = 1.000000, bias = 0.00
